ID,Date,Add,Temp,NH4,NO3,PO4,TFPA,TRS
P2,6/1/2021,None,Pre,11.82631467,22.93038236,0.427343888,59.089002,0.059856984
P3,6/1/2021,None,Pre,2.21,12.49884498,0.470951926,84.89516629,0.100600914
P4,6/1/2021,None,Pre,13.426843,11.161811,0.085790013,86.73298898,0.067834204
P5,6/1/2021,None,Pre,11.81544899,20.13135012,0.23105897,73.13259714,0.10124535
P6,6/1/2021,None,Pre,12.42452463,14.13598732,0.23219836,66.21365907,0.123513514
A6-1,,Cellobiose,6,2.79712194,0,0.133065352,56.9226856,0.10869878
A6-2,,Cellobiose,6,3.283695118,0,0.072884675,69.17376442,0.072196452
A6-3,,Cellobiose,6,3.509187339,0,0.059231234,55.38696193,0.069978843
A6-4,,Cellobiose,6,4.31086568,0,0.017893256,55.7824913,0.064629579
C6-1,,Coloidal cellulose,6,3.148136445,34.76105041,0.121966837,45.88543688,0.089626458
C6-2,,Coloidal cellulose,6,3.401932578,27.60754288,0.060018501,39.61985046,0.075893945
C6-3,,Coloidal cellulose,6,5.347364088,31.69252139,0.028255799,31.08460055,0.090950621
C6-4,,Coloidal cellulose,6,3.964312819,18.31836828,0,48.06985944,0.104007938
D6-1,,Cellulose- 20,6,3.892818278,31.26397992,0.05310884,31.57600012,0.085442228
D6-2,,Cellulose- 20,6,3.749843605,28.12897426,0,38.14040827,0.085391615
D6-3,,Cellulose- 20,6,4.291368587,15.66453641,0,66.59027801,0.104966595
D6-4,,Cellulose- 20,6,3.549884871,22.75978069,0.182759199,53.6554758,0.083998002
E6-1,,Cellulose- 90,6,3.597446744,27.20011894,0.443691965,55.61951927,0.11469927
E6-2,,Cellulose- 90,6,4.289152252,27.63376118,0.045754853,60.02323976,0.09751294
E6-3,,Cellulose- 90,6,3.229511837,22.89956336,0,36.00649509,0.091327284
E6-4,,Cellulose- 90,6,4.327601309,29.4586505,0,24.17801083,0.100285174
F6-1,,None,6,2.92060844,0,0.133065352,56.9226856,0.10869878
F6-2,,None,6,3.387151918,0,0.072884675,69.17376442,0.072196452
F6-3,,None,6,3.614973339,0,0.059231234,55.38696193,0.069978843
F6-4,,None,6,4.41453568,0,0.017893256,55.7824913,0.064629579
A10-1,,Cellobiose,10,1.163773175,0,0.129796922,38.5389206,0.083999028
A10-2,,Cellobiose,10,2.313578353,0,0.071094439,46.83338789,0.0474967
A10-3,,Cellobiose,10,2.53713465,0,0.057776362,37.49917464,0.045279091
A10-4,,Cellobiose,10,3.467816915,0,0.017453752,37.76696374,0.039929827
C10-1,,Coloidal cellulose,10,2.17678768,14.40052424,0.150088278,74.92472707,0.083674746
C10-2,,Coloidal cellulose,10,2.430583813,32.28597101,0.118971015,31.06626453,0.064926706
C10-3,,Coloidal cellulose,10,4.376015323,25.13246348,0.058544291,26.82421349,0.051194193
C10-4,,Coloidal cellulose,10,2.992964054,29.21744199,0.027561763,21.04551006,0.066250869
D10-1,,Cellulose- 20,10,2.921435683,15.84328888,0,32.54520542,0.079308186
D10-2,,Cellulose- 20,10,2.77849484,28.78890052,0.05180435,21.3782071,0.060742476
D10-3,,Cellulose- 20,10,3.320267822,25.65389486,0,25.82257233,0.060691863
D10-4,,Cellulose- 20,10,2.578536106,13.18945701,0,45.08426491,0.080266843
E10-1,,Cellulose- 90,10,2.626356798,20.28470129,0.178270159,36.3268897,0.05929825
E10-2,,Cellulose- 90,10,3.317803487,24.72503954,0.432793741,37.65662519,0.089999518
E10-3,,Cellulose- 90,10,2.252356732,25.15868178,0.044630995,40.63811899,0.072813188
E10-4,,Cellulose- 90,10,3.356252544,20.42448396,0,24.37782829,0.066627532
F10-1,,None,10,1.949283675,26.9835711,0,16.36947431,0.075585422
F10-2,,None,10,2.413154315,0,0.129796922,38.5389206,0.083999028
F10-3,,None,10,2.643624574,0,0.071094439,46.83338789,0.0474967
F10-4,,None,10,3.417828692,0,0.057776362,37.49917464,0.045279091
