,Add,Temp,val,Day,,
153,Cellobiose,10,4151.135207,2,,
154,Cellobiose,10,4151.135207,2,,
155,Cellobiose,10,7145.403328,3,,
156,Cellobiose,10,7145.403328,3,,
157,Cellobiose,10,7145.403328,3,,
158,Cellobiose,10,7145.403328,3,,
159,Cellobiose,10,10973.30443,4,,
160,Cellobiose,10,10973.30443,4,,
161,Cellobiose,10,10973.30443,4,,
162,Cellobiose,10,10973.30443,4,,
163,Cellobiose,10,15015.04896,5,,
164,Cellobiose,10,15015.04896,5,,
165,Cellobiose,10,15015.04896,5,,
166,Cellobiose,10,15015.04896,5,,
167,Cellobiose,10,17787.39427,6,,
168,Cellobiose,10,17787.39427,6,,
169,Cellobiose,10,17787.39427,6,,
170,Cellobiose,10,17787.39427,6,,
171,Cellobiose,10,19866.29448,7,,
172,Cellobiose,10,19866.29448,7,,
173,Cellobiose,10,19866.29448,7,,
174,Cellobiose,10,19866.29448,7,,
175,Cellobiose,10,20637.09988,8,,
176,Cellobiose,10,20637.09988,8,,
177,Cellobiose,10,20637.09988,8,,
178,Cellobiose,10,20637.09988,8,,
179,Cellotetraose,-2,0,1,,
180,Cellotetraose,-2,0,1,,
181,Cellotetraose,-2,0,1,,
182,Cellotetraose,-2,0,1,,
183,Cellotetraose,-2,124.8916566,2,,
184,Cellotetraose,-2,124.8916566,2,,
185,Cellotetraose,-2,124.8916566,2,,
186,Cellotetraose,-2,124.8916566,2,,
187,Cellotetraose,-2,390.2540562,3,,
188,Cellotetraose,-2,390.2540562,3,,
189,Cellotetraose,-2,390.2540562,3,,
190,Cellotetraose,-2,390.2540562,3,,
191,Cellotetraose,-2,583.5398195,4,,
192,Cellotetraose,-2,583.5398195,4,,
193,Cellotetraose,-2,583.5398195,4,,
194,Cellotetraose,-2,583.5398195,4,,
195,Cellotetraose,-2,787.0897658,5,,
196,Cellotetraose,-2,787.0897658,5,,
197,Cellotetraose,-2,787.0897658,5,,
198,Cellotetraose,-2,787.0897658,5,,
199,Cellotetraose,-2,1023.207564,6,,
200,Cellotetraose,-2,1023.207564,6,,
201,Cellotetraose,-2,1023.207564,6,,
202,Cellotetraose,-2,1023.207564,6,,
203,Cellotetraose,-2,1233.996759,7,,
204,Cellotetraose,-2,1233.996759,7,,
205,Cellotetraose,-2,1233.996759,7,,
206,Cellotetraose,-2,1233.996759,7,,
207,Cellotetraose,-2,1506.94645,8,,
208,Cellotetraose,-2,1506.94645,8,,
209,Cellotetraose,-2,1506.94645,8,,
210,Cellotetraose,-2,1506.94645,8,,
211,Cellotetraose,-2,1843.452398,9,,
212,Cellotetraose,-2,1843.452398,9,,
213,Cellotetraose,-2,1843.452398,9,,
214,Cellotetraose,-2,1843.452398,9,,
215,Cellotetraose,-2,2157.321004,10,,
216,Cellotetraose,-2,2157.321004,10,,
217,Cellotetraose,-2,2157.321004,10,,
218,Cellotetraose,-2,2157.321004,10,,
219,Cellotetraose,2,0,1,,
220,Cellotetraose,2,0,1,,
221,Cellotetraose,2,0,1,,
222,Cellotetraose,2,0,1,,
223,Cellotetraose,2,2674.105385,2,,
224,Cellotetraose,2,2674.105385,2,,
225,Cellotetraose,2,2674.105385,2,,
226,Cellotetraose,2,4100.359177,3,,
227,Cellotetraose,2,4100.359177,3,,
228,Cellotetraose,2,4100.359177,3,,
229,Cellotetraose,2,4100.359177,3,,
230,Cellotetraose,2,6870.862124,4,,
231,Cellotetraose,2,6870.862124,4,,
232,Cellotetraose,2,6870.862124,4,,
233,Cellotetraose,2,6870.862124,4,,
234,Cellotetraose,2,10407.06463,5,,
235,Cellotetraose,2,10407.06463,5,,
236,Cellotetraose,2,10407.06463,5,,
237,Cellotetraose,2,10407.06463,5,,
238,Cellotetraose,2,12191.35624,6,,
239,Cellotetraose,2,12191.35624,6,,
240,Cellotetraose,2,12191.35624,6,,
241,Cellotetraose,2,12191.35624,6,,
242,Cellotetraose,2,12766.42949,7,,
243,Cellotetraose,2,12766.42949,7,,
244,Cellotetraose,2,12766.42949,7,,
245,Cellotetraose,2,12766.42949,7,,
246,Cellotetraose,2,13242.26334,8,,
247,Cellotetraose,2,13242.26334,8,,
248,Cellotetraose,2,13242.26334,8,,
249,Cellotetraose,2,13242.26334,8,,
250,Cellotetraose,2,13788.5678,9,,
251,Cellotetraose,2,13788.5678,9,,
252,Cellotetraose,2,13788.5678,9,,
253,Cellotetraose,2,13788.5678,9,,
254,Cellulose- 20,-6,0,1,,
255,Cellulose- 20,-6,0,1,,
256,Cellulose- 20,-6,0,1,,
257,Cellulose- 20,-6,0,1,,
258,Cellulose- 20,-6,61.4015005,2,,
259,Cellulose- 20,-6,61.4015005,2,,
260,Cellulose- 20,-6,61.4015005,2,,
261,Cellulose- 20,-6,61.4015005,2,,
262,Cellulose- 20,-6,105.2614366,3,,
263,Cellulose- 20,-6,105.2614366,3,,
264,Cellulose- 20,-6,105.2614366,3,,
265,Cellulose- 20,-6,105.2614366,3,,
266,Cellulose- 20,-6,179.9657843,4,,
267,Cellulose- 20,-6,179.9657843,4,,
268,Cellulose- 20,-6,179.9657843,4,,
269,Cellulose- 20,-6,179.9657843,4,,
270,Cellulose- 20,-6,258.7689297,5,,
271,Cellulose- 20,-6,258.7689297,5,,
272,Cellulose- 20,-6,258.7689297,5,,
273,Cellulose- 20,-6,258.7689297,5,,
274,Cellulose- 20,-6,298.9468824,6,,
275,Cellulose- 20,-6,298.9468824,6,,
276,Cellulose- 20,-6,298.9468824,6,,
277,Cellulose- 20,-6,298.9468824,6,,
278,Cellulose- 20,-6,342.5227197,7,,
279,Cellulose- 20,-6,342.5227197,7,,
280,Cellulose- 20,-6,342.5227197,7,,
281,Cellulose- 20,-6,342.5227197,7,,
282,Cellulose- 20,-6,378.9071657,8,,
283,Cellulose- 20,-6,378.9071657,8,,
284,Cellulose- 20,-6,378.9071657,8,,
285,Cellulose- 20,-6,378.9071657,8,,
286,Cellulose- 20,-6,426.9791783,9,,
287,Cellulose- 20,-6,426.9791783,9,,
288,Cellulose- 20,-6,426.9791783,9,,
289,Cellulose- 20,-6,426.9791783,9,,
290,Cellulose- 20,-6,454.8777513,10,,
291,Cellulose- 20,-6,454.8777513,10,,
292,Cellulose- 20,-6,454.8777513,10,,
293,Cellulose- 20,-6,454.8777513,10,,
294,Cellulose- 20,-6,465.7561801,11,,
295,Cellulose- 20,-6,465.7561801,11,,
296,Cellulose- 20,-6,465.7561801,11,,
297,Cellulose- 20,-6,465.7561801,11,,
298,Cellulose- 20,-2,0,1,,
299,Cellulose- 20,-2,0,1,,
300,Cellulose- 20,-2,0,1,,
301,Cellulose- 20,-2,0,1,,
302,Cellulose- 20,-2,82.49072994,2,,
303,Cellulose- 20,-2,82.49072994,2,,
304,Cellulose- 20,-2,82.49072994,2,,
305,Cellulose- 20,-2,82.49072994,2,,
306,Cellulose- 20,-2,169.7128427,3,,
307,Cellulose- 20,-2,169.7128427,3,,
308,Cellulose- 20,-2,169.7128427,3,,
309,Cellulose- 20,-2,169.7128427,3,,
310,Cellulose- 20,-2,261.6980898,4,,
311,Cellulose- 20,-2,261.6980898,4,,
312,Cellulose- 20,-2,261.6980898,4,,
313,Cellulose- 20,-2,261.6980898,4,,
314,Cellulose- 20,-2,358.0619977,5,,
315,Cellulose- 20,-2,358.0619977,5,,
316,Cellulose- 20,-2,358.0619977,5,,
317,Cellulose- 20,-2,358.0619977,5,,
318,Cellulose- 20,-2,421.7334008,6,,
319,Cellulose- 20,-2,421.7334008,6,,
320,Cellulose- 20,-2,421.7334008,6,,
321,Cellulose- 20,-2,421.7334008,6,,
322,Cellulose- 20,-2,484.998168,7,,
