ID,Date,Add,Temp,BG,AFS,CBH,LAP,NAG,PHOS,BX,per,pox,NETPEROX,EndoC,EndoX
C10-1,,Coloidal cellulose,10,395.2840957,97.44225368,30.1412973,1208.630825,357.5620191,1058.017834,16.01795363,-3.80316216,9.075475882,-12.87863804,,
C10-2,,Coloidal cellulose,10,328.722247,197.0340282,30.10604999,870.1246226,215.3568314,696.7340661,30.13557315,7.455319662,9.280172851,-1.824853189,,
C10-3,,Coloidal cellulose,10,308.704919,117.9899008,34.90306716,972.5592662,235.1646886,837.8685952,23.17633919,-1.830014047,-0.976310223,-0.853703823,,
C10-4,,Coloidal cellulose,10,338.5757889,116.9738922,33.51204754,935.2312795,212.5638776,757.458312,30.22921635,0.720763428,24.07198111,-23.35121768,,
D10-1,,Cellulose- 20,10,294.9357865,174.2331148,36.77368548,945.4865695,314.9546419,813.9325975,6.415049974,14.72605485,2.902338256,11.8237166,,
D10-2,,Cellulose- 20,10,356.2241223,147.7714463,47.35320704,873.2897893,200.73079,916.0223594,11.64943233,-13.1068437,-0.463926827,-12.64291687,,
D10-3,,Cellulose- 20,10,320.9079633,109.5359165,13.76230103,1045.678337,269.7432316,1174.363743,66.05200814,-4.145729484,3.395364772,-7.541094256,,
D10-4,,Cellulose- 20,10,470.7375676,164.7831295,67.71253723,1147.399265,265.8242818,1073.334886,70.52030632,-17.83111655,-12.08458176,-5.746534791,,
E10-1,,Cellulose- 90,10,376.6391832,85.69474313,35.50168399,979.496164,285.218305,1205.302326,62.14168494,21.54406512,-4.38449224,25.92855736,,
E10-2,,Cellulose- 90,10,378.3899241,141.1945339,13.51430667,1161.564688,216.0567996,1052.625432,47.65135343,15.55368983,-4.540305046,20.09399488,,
E10-3,,Cellulose- 90,10,320.8030324,126.4995324,18.94653405,343.613311,248.6873967,861.7713933,51.14719548,4.315146249,4.617783404,-0.302637155,,
E10-4,,Cellulose- 90,10,381.9739677,98.68858686,26.01318953,270.7125999,258.195724,1020.757478,78.45586307,1.537347455,6.267647318,-4.730299862,,
F10-1,,None,10,222.8474259,105.4057067,32.63436173,968.1861168,234.9765351,1111.101313,48.03858787,9.813012883,4.607951994,5.205060889,,
F10-2,,None,10,397.4735747,85.04541243,34.40703991,825.5647185,169.6631443,784.7791738,54.52677499,-4.070736327,4.440077743,-8.51081407,,
F10-3,,None,10,207.6532832,154.6228045,41.38835501,678.5054795,186.8807605,521.9486892,51.43133596,4.438938719,-2.04730685,6.486245568,,
F10-4,,None,10,346.6339314,172.64088,27.381779,934.3916239,213.2582816,807.8271625,39.73942755,11.0400609,0.700467521,10.33959338,,
