CoreID,inc,Add
out_Wein_D6.2_32_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8470,6,cellulose_20
out_Wein_D6.3_30_C_FTICR_07Nov22_Fir_300SA_IATp01_8395,6,cellulose_20
out_Wein_D6.3_30_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8437,6,cellulose_20
out_Wein_D10.1_39_C_FTICR_07Nov22_Fir_300SA_IATp01_8379,10,cellulose_20
out_Wein_D10.1_39_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8435,10,cellulose_20
out_Wein_D10.2_41_C_FTICR_07Nov22_Fir_300SA_IATp01_8362,10,cellulose_20
out_Wein_D10.2_41_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8424,10,cellulose_20
out_Wein_D10.2_41_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8498,10,cellulose_20
out_Wein_D10.3_48_C_FTICR_07Nov22_Fir_300SA_IATp01_8359,10,cellulose_20
out_Wein_D10.3_48_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8458,10,cellulose_20
out_Wein_DN2.1_24_C_FTICR_07Nov22_Fir_300SA_IATp01_8329,-2,cellulose_20
out_Wein_DN2.1_24_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8447,-2,cellulose_20
out_Wein_DN2.2_34_C_FTICR_07Nov22_Fir_300SA_IATp01_8331,-2,cellulose_20
out_Wein_DN2.2_34_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8426,-2,cellulose_20
out_Wein_DN2.2_34_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8500,-2,cellulose_20
out_Wein_DN2.3_16_C_FTICR_07Nov22_Fir_300SA_IATp01_8364,-2,cellulose_20
out_Wein_DN2.3_16_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8442,-2,cellulose_20
out_Wein_DN6.1_21_C_FTICR_07Nov22_Fir_300SA_IATp01_8334,-6,cellulose_20
out_Wein_DN6.1_21_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8501,-6,cellulose_20
out_Wein_DN6.2_51_C_FTICR_07Nov22_Fir_300SA_IATp01_8391,-6,cellulose_20
out_Wein_DN6.2_51_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8472,-6,cellulose_20
out_Wein_DN6.4_37_C_FTICR_07Nov22_Fir_300SA_IATp01_8357,-6,cellulose_20
out_Wein_DN6.4_37_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8432,-6,cellulose_20
out_Wein_E2.1_17_C_FTICR_07Nov22_Fir_300SA_IATp01_8332,2,cellulose_90
out_Wein_E2.1_17_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8412,2,cellulose_90
out_Wein_E2.1_17_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8486,2,cellulose_90
out_Wein_E2.3_57_C_FTICR_07Nov22_Fir_300SA_IATp01_8345,2,cellulose_90
out_Wein_E2.3_57_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8469,2,cellulose_90
out_Wein_E2.4_26_C_FTICR_07Nov22_Fir_300SA_IATp01_8389,2,cellulose_90
out_Wein_E2.4_26_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8440,2,cellulose_90
out_Wein_E6.1_69_C_FTICR_07Nov22_Fir_300SA_IATp01_8400,6,cellulose_90
out_Wein_E6.1_69_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8463,6,cellulose_90
out_Wein_E6.2_14_C_FTICR_07Nov22_Fir_300SA_IATp01_8352,6,cellulose_90
out_Wein_E6.2_14_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8462,6,cellulose_90
out_Wein_E6.3_6_C_FTICR_07Nov22_Fir_300SA_IATp01_8360,6,cellulose_90
out_Wein_E6.3_6_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8439,6,cellulose_90
out_Wein_E10.1_20_C_FTICR_07Nov22_Fir_300SA_IATp01_8373,10,cellulose_90
out_Wein_E10.1_20_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8422,10,cellulose_90
out_Wein_E10.1_20_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8496,10,cellulose_90
out_Wein_E10.2_3_C_FTICR_07Nov22_Fir_300SA_IATp01_8377,10,cellulose_90
out_Wein_E10.2_3_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8423,10,cellulose_90
out_Wein_E10.2_3_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8497,10,cellulose_90
out_Wein_E10.4_27_C_FTICR_07Nov22_Fir_300SA_IATp01_8328,10,cellulose_90
out_Wein_E10.4_27_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8425,10,cellulose_90
out_Wein_E10.4_27_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8499,10,cellulose_90
out_Wein_EN2.1_63_C_FTICR_07Nov22_Fir_300SA_IATp01_8354,-2,cellulose_90
out_Wein_EN2.1_63_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8455,-2,cellulose_90
out_Wein_EN2.2_68_C_FTICR_07Nov22_Fir_300SA_IATp01_8387,-2,cellulose_90
out_Wein_EN2.2_68_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8430,-2,cellulose_90
out_Wein_EN2.3_58_C_FTICR_07Nov22_Fir_300SA_IATp01_8390,-2,cellulose_90
out_Wein_EN2.3_58_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8446,-2,cellulose_90
out_Wein_EN6.1_47_C_FTICR_07Nov22_Fir_300SA_IATp01_8388,-6,cellulose_90
out_Wein_EN6.1_47_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8413,-6,cellulose_90
out_Wein_EN6.1_47_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8487,-6,cellulose_90
out_Wein_EN6.2_40_C_FTICR_07Nov22_Fir_300SA_IATp01_8342,-6,cellulose_90
out_Wein_EN6.2_40_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8464,-6,cellulose_90
out_Wein_EN6.3_23_C_FTICR_07Nov22_Fir_300SA_IATp01_8327,-6,cellulose_90
out_Wein_EN6.3_23_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8408,-6,cellulose_90
out_Wein_EN6.3_23_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8482,-6,cellulose_90
out_Wein_F2.1_35_C_FTICR_07Nov22_Fir_300SA_IATp01_8335,2,none
out_Wein_F2.1_35_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8451,2,none
out_Wein_F2.2_10_C_FTICR_07Nov22_Fir_300SA_IATp01_8397,2,none
out_Wein_F2.2_10_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8467,2,none
out_Wein_F2.3_67_C_FTICR_07Nov22_Fir_300SA_IATp01_8381,2,none
out_Wein_F2.3_67_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8444,2,none
out_Wein_F6.1_45_C_FTICR_07Nov22_Fir_300SA_IATp01_8341,6,none
out_Wein_F6.1_45_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8409,6,none
out_Wein_F6.1_45_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8483,6,none
out_Wein_F6.2_52_C_FTICR_07Nov22_Fir_300SA_IATp01_8344,6,none
out_Wein_F6.2_52_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8421,6,none
out_Wein_F6.2_52_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8495,6,none
out_Wein_F6.3_5_C_FTICR_07Nov22_Fir_300SA_IATp01_8343,6,none
out_Wein_F6.3_5_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8457,6,none
out_Wein_F10.1_60_C_FTICR_07Nov22_Fir_300SA_IATp01_8378,10,none
out_Wein_F10.1_60_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8433,10,none
out_Wein_F10.2_64_C_FTICR_07Nov22_Fir_300SA_IATp01_8382,10,none
out_Wein_F10.2_64_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8434,10,none
out_Wein_F10.3_28_C_FTICR_07Nov22_Fir_300SA_IATp01_8351,10,none
out_Wein_F10.3_28_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8420,10,none
out_Wein_F10.3_28_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8494,10,none
out_Wein_FN2.1_54_C_FTICR_07Nov22_Fir_300SA_IATp01_8394,-2,none
out_Wein_FN2.1_54_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8452,-2,none
out_Wein_FN2.2_36_C_FTICR_07Nov22_Fir_300SA_IATp01_8356,-2,none
out_Wein_FN2.2_36_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8454,-2,none
out_Wein_FN2.3_66_C_FTICR_07Nov22_Fir_300SA_IATp01_8392,-2,none
out_Wein_FN2.3_66_C_FTICR_r2_11Nov22_Fir_300SA_IATp01_8465,-2,none
out_Wein_FN6.1_56_C_FTICR_07Nov22_Fir_300SA_IATp01_8368,-6,none
out_Wein_FN6.1_56_C_FTICR_r2_09Nov22_Fir_300SA_IATp01_8417,-6,none
