CoreID,inc,Add
out_Wein_C6.3_65_FTICR_r2_18Oct22_Fir_300SA_IATp01_7874,6,coloidal
out_Wein_C6.3_65_FTICR_r3_10Oct22_Fir_300SA_IATp01_7917,6,coloidal
out_Wein_C10.1_29_FTICR_10Oct22_Fir_300SA_IATp01_7718,10,coloidal
out_Wein_C10.1_29_FTICR_r2_11Oct22_Fir_300SA_IATp01_7808,10,coloidal
out_Wein_C10.1_29_FTICR_r3_10Oct22_Fir_300SA_IATp01_7931,10,coloidal
out_Wein_C10.2_22_FTICR_10Oct22_Fir_300SA_IATp01_7725,10,coloidal
out_Wein_C10.2_22_FTICR_r2_11Oct22_Fir_300SA_IATp01_7781,10,coloidal
out_Wein_C10.2_22_FTICR_r3_10Oct22_Fir_300SA_IATp01_7937,10,coloidal
out_Wein_C10.3_33_FTICR_10Oct22_Fir_300SA_IATp01_7772,10,coloidal
out_Wein_C10.3_33_FTICR_r2_18Oct22_Fir_300SA_IATp01_7863,10,coloidal
out_Wein_C10.3_33_FTICR_r3_10Oct22_Fir_300SA_IATp01_7930,10,coloidal
out_Wein_CN2.1_2_FTICR_10Oct22_Fir_300SA_IATp01_7705,-2,coloidal
out_Wein_CN2.1_2_FTICR_r2_11Oct22_Fir_300SA_IATp01_7802,-2,coloidal
out_Wein_CN2.1_2_FTICR_r3_10Oct22_Fir_300SA_IATp01_7921,-2,coloidal
out_Wein_CN2.2_50_FTICR_10Oct22_Fir_300SA_IATp01_7771,-2,coloidal
out_Wein_CN2.2_50_FTICR_r2_18Oct22_Fir_300SA_IATp01_7869,-2,coloidal
out_Wein_CN2.2_50_FTICR_r3_10Oct22_Fir_300SA_IATp01_7904,-2,coloidal
out_Wein_CN2.3_8_FTICR_10Oct22_Fir_300SA_IATp01_7727,-2,coloidal
out_Wein_CN2.3_8_FTICR_r2_11Oct22_Fir_300SA_IATp01_7777,-2,coloidal
out_Wein_CN2.3_8_FTICR_r3_10Oct22_Fir_300SA_IATp01_7886,-2,coloidal
out_Wein_CN6.1_42_FTICR_10Oct22_Fir_300SA_IATp01_7733,-6,coloidal
out_Wein_CN6.1_42_FTICR_r2_11Oct22_Fir_300SA_IATp01_7805,-6,coloidal
out_Wein_CN6.1_42_FTICR_r3_10Oct22_Fir_300SA_IATp01_7933,-6,coloidal
out_Wein_CN6.2_11_FTICR_10Oct22_Fir_300SA_IATp01_7716,-6,coloidal
out_Wein_CN6.2_11_FTICR_r2_11Oct22_Fir_300SA_IATp01_7798,-6,coloidal
out_Wein_CN6.2_11_FTICR_r3_10Oct22_Fir_300SA_IATp01_7892,-6,coloidal
out_Wein_CN6.3_15_FTICR_10Oct22_Fir_300SA_IATp01_7715,-6,coloidal
out_Wein_CN6.3_15_FTICR_r2_11Oct22_Fir_300SA_IATp01_7821,-6,coloidal
out_Wein_CN6.3_15_FTICR_r3_10Oct22_Fir_300SA_IATp01_7908,-6,coloidal
out_Wein_D2.1_44_FTICR_10Oct22_Fir_300SA_IATp01_7739,2,cellulose_20
out_Wein_D2.1_44_FTICR_r2_11Oct22_Fir_300SA_IATp01_7807,2,cellulose_20
out_Wein_D2.1_44_FTICR_r3_10Oct22_Fir_300SA_IATp01_7884,2,cellulose_20
out_Wein_D2.2_62_FTICR_10Oct22_Fir_300SA_IATp01_7767,6,cellulose_20
out_Wein_D2.2_62_FTICR_r2_18Oct22_Fir_300SA_IATp01_7873,6,cellulose_20
out_Wein_D2.2_62_FTICR_r3_10Oct22_Fir_300SA_IATp01_7953,6,cellulose_20
out_Wein_D2.3_61_FTICR_10Oct22_Fir_300SA_IATp01_7765,6,cellulose_20
out_Wein_D2.3_61_FTICR_r2_18Oct22_Fir_300SA_IATp01_7862,6,cellulose_20
out_Wein_D2.3_61_FTICR_r3_10Oct22_Fir_300SA_IATp01_7887,6,cellulose_20
out_Wein_D6.1_9_FTICR_10Oct22_Fir_300SA_IATp01_7731,6,cellulose_20
out_Wein_D6.1_9_FTICR_r2_11Oct22_Fir_300SA_IATp01_7784,6,cellulose_20
out_Wein_D6.1_9_FTICR_r3_10Oct22_Fir_300SA_IATp01_7929,6,cellulose_20
out_Wein_D6.2_32_FTICR_10Oct22_Fir_300SA_IATp01_7762,6,cellulose_20
out_Wein_D6.2_32_FTICR_r2_18Oct22_Fir_300SA_IATp01_7850,6,cellulose_20
out_Wein_D6.2_32_FTICR_r3_10Oct22_Fir_300SA_IATp01_7900,6,cellulose_20
out_Wein_D6.3_30_FTICR_10Oct22_Fir_300SA_IATp01_7708,6,cellulose_20
out_Wein_D6.3_30_FTICR_r2_11Oct22_Fir_300SA_IATp01_7806,6,cellulose_20
out_Wein_D6.3_30_FTICR_r3_10Oct22_Fir_300SA_IATp01_7898,6,cellulose_20
out_Wein_D10.1_39_FTICR_10Oct22_Fir_300SA_IATp01_7756,10,cellulose_20
out_Wein_D10.1_39_FTICR_r2_18Oct22_Fir_300SA_IATp01_7856,10,cellulose_20
out_Wein_D10.1_39_FTICR_r3_10Oct22_Fir_300SA_IATp01_7885,10,cellulose_20
out_Wein_D10.2_41_FTICR_10Oct22_Fir_300SA_IATp01_7757,10,cellulose_20
out_Wein_D10.2_41_FTICR_r2_18Oct22_Fir_300SA_IATp01_7853,10,cellulose_20
out_Wein_D10.2_41_FTICR_r3_10Oct22_Fir_300SA_IATp01_7935,10,cellulose_20
out_Wein_D10.3_48_FTICR_10Oct22_Fir_300SA_IATp01_7749,10,cellulose_20
out_Wein_D10.3_48_FTICR_r2_18Oct22_Fir_300SA_IATp01_7860,10,cellulose_20
out_Wein_D10.3_48_FTICR_r3_10Oct22_Fir_300SA_IATp01_7949,10,cellulose_20
out_Wein_DN2.1_24_FTICR_10Oct22_Fir_300SA_IATp01_7722,-2,cellulose_20
out_Wein_DN2.1_24_FTICR_r2_11Oct22_Fir_300SA_IATp01_7818,-2,cellulose_20
out_Wein_DN2.1_24_FTICR_r3_10Oct22_Fir_300SA_IATp01_7945,-2,cellulose_20
out_Wein_DN2.2_34_FTICR_10Oct22_Fir_300SA_IATp01_7750,-2,cellulose_20
out_Wein_DN2.2_34_FTICR_r2_18Oct22_Fir_300SA_IATp01_7854,-2,cellulose_20
out_Wein_DN2.2_34_FTICR_r3_10Oct22_Fir_300SA_IATp01_7943,-2,cellulose_20
